temperature_c,angular_frequency_rad_per_s,storage_modulus_pa,storage_standard_uncertainty_pa,storage_model_pa,loss_modulus_pa,loss_standard_uncertainty_pa,loss_model_pa
20.0,0.2512,7.106,0.791,7.141,240.832,3.170,239.656
20.0,0.3981,17.235,1.266,17.280,379.259,5.025,378.826
20.0,0.6310,40.081,2.012,40.261,594.428,7.851,596.118
20.0,1.000,89.693,3.241,90.166,925.786,12.214,929.939
20.0,1.585,193.505,5.365,193.738,1425.961,18.780,1432.167
20.0,2.512,397.996,9.052,398.677,2164.056,28.539,2168.390
20.0,3.981,784.020,15.160,784.278,3215.321,42.021,3214.162
20.0,6.310,1474.124,25.628,1472.243,4665.235,60.606,4644.871
20.0,10.00,2636.350,42.140,2632.471,6559.541,84.326,6516.898
20.0,15.85,4477.057,67.303,4475.428,8901.251,113.483,8840.051
20.0,25.12,7208.341,103.568,7221.217,11592.120,147.185,11545.260
20.0,39.81,10985.710,151.846,11038.257,14463.130,182.612,14456.767
20.0,63.10,15897.750,213.255,15955.934,17257.780,217.777,17284.037
20.0,100.0,21872.700,285.615,21771.542,19602.820,249.575,19647.696
30.0,0.1000,0.704,0.274,0.702,79.283,1.058,79.417
30.0,0.1585,1.806,0.426,1.850,125.640,1.691,124.676
30.0,0.2512,4.566,0.658,4.719,198.620,2.652,196.878
30.0,0.3981,11.402,1.032,11.620,313.660,4.155,311.418
30.0,0.6310,27.424,1.644,27.579,492.782,6.506,491.366
30.0,1.000,62.974,2.644,62.967,770.069,10.187,770.141
30.0,1.585,138.099,4.305,138.054,1192.843,15.703,1194.059
30.0,2.512,289.962,7.202,290.132,1820.693,24.419,1823.727
30.0,3.981,584.545,12.121,583.396,2737.736,36.009,2732.463
30.0,6.310,1125.264,20.483,1120.394,4022.379,52.497,3999.431
30.0,10.00,2065.874,34.245,2051.307,5745.912,74.425,5694.785
30.0,15.85,3598.061,55.659,3574.014,7935.413,102.212,7855.554
30.0,25.12,5946.615,87.105,5915.145,10537.330,134.138,10454.067
30.0,39.81,9300.265,130.976,9282.550,13418.020,170.233,13365.526
30.0,63.10,13793.150,187.747,13787.303,16330.680,206.908,16348.096
30.0,100.0,19435.980,256.068,19347.070,18938.980,240.268,19050.859
40.0,0.1000,0.451,0.233,0.459,66.056,0.878,66.517
40.0,0.1585,1.239,0.356,1.228,104.538,1.404,104.006
40.0,0.2512,3.126,0.553,3.179,165.513,2.208,163.889
40.0,0.3981,7.772,0.861,7.955,261.608,3.499,259.174
40.0,0.6310,18.987,1.364,19.202,411.694,5.477,409.605
40.0,1.000,44.722,2.208,44.623,645.392,8.576,644.261
40.0,1.585,100.166,3.542,99.663,1004.058,13.332,1004.307
40.0,2.512,213.897,5.824,213.538,1544.708,20.520,1545.142
40.0,3.981,439.351,9.754,438.118,2339.770,31.047,2336.408
40.0,6.310,863.639,16.647,859.214,3472.576,45.757,3457.775
40.0,10.00,1621.117,28.005,1607.750,5026.861,65.801,4987.675
40.0,15.85,2891.034,46.226,2865.205,7051.731,91.546,6982.938
40.0,25.12,4896.067,73.814,4854.348,9531.251,122.467,9449.428
40.0,39.81,7845.696,113.010,7804.646,12365.630,157.806,12307.880
40.0,63.10,11915.750,165.161,11886.125,15341.240,194.639,15365.959
40.0,100.0,17188.690,230.921,17116.133,18149.890,230.413,18311.359
50.0,0.1000,0.301,0.201,0.306,55.410,0.743,56.466
50.0,0.1585,0.878,0.304,0.831,87.878,1.182,87.892
50.0,0.2512,2.103,0.467,2.181,138.912,1.858,138.114
50.0,0.3981,5.521,0.725,5.539,219.652,2.956,218.194
50.0,0.6310,13.536,1.147,13.580,346.292,4.605,345.104
50.0,1.000,32.173,1.815,32.076,544.440,7.247,544.186
50.0,1.585,72.720,2.935,72.869,850.075,11.219,851.964
50.0,2.512,159.061,4.789,158.934,1314.185,17.563,1318.742
50.0,3.981,332.501,7.979,332.197,2004.889,26.602,2009.762
50.0,6.310,665.395,13.608,664.205,3002.125,39.796,3003.065
50.0,10.00,1274.141,22.954,1268.084,4397.122,57.941,4381.333
50.0,15.85,2323.171,38.430,2307.524,6251.419,81.703,6215.185
50.0,25.12,4025.386,62.367,3994.987,8587.317,111.294,8536.837
50.0,39.81,6602.065,97.277,6568.469,11331.410,145.632,11306.238
50.0,63.10,10259.591,144.945,10237.887,14320.710,182.468,14378.240
50.0,100.0,15120.080,206.529,15099.672,17249.240,219.569,17484.194
